@_STATE,State,SMOKE_18,EAT_18,DRINK_18,VAPE_18,DAB_18,OTHER_18,DK_HOWUSE_18,RE_HOWUSE_18
1,Alabama,0,0,0,0,0,0,0,0
2,Alaska,0,0,0,0,0,0,0,0
4,Arizona,0,0,0,0,0,0,0,0
5,Arkansas,0,0,0,0,0,0,0,0
6,California,918,200,17,207,43,44,1,0
8,Colorado,0,0,0,0,0,0,0,0
9,Connecticut,0,0,0,0,0,0,0,0
10,Delaware,0,0,0,0,0,0,0,0
11,DC,0,0,0,0,0,0,0,0
12,Florida,757,64,4,115,29,19,6,2
13,Georgia,0,0,0,0,0,0,0,0
15,Hawaii,0,0,0,0,0,0,0,0
16,Idaho,156,41,2,25,7,14,1,1
17,Illinois,0,0,0,0,0,0,0,0
18,Indianna,0,0,0,0,0,0,0,0
19,Iowa,0,0,0,0,0,0,0,0
20,Kansas,0,0,0,0,0,0,0,0
21,Kentucky,0,0,0,0,0,0,0,0
22,Louisiana,0,0,0,0,0,0,0,0
23,Maine,0,0,0,0,0,0,0,0
24,Maryland,629,57,9,84,10,28,1,1
25,Massachusetts,0,0,0,0,0,0,0,0
26,Michigan,0,0,0,0,0,0,0,0
27,Minnesota,885,94,4,99,12,28,5,6
28,Mississippi,0,0,0,0,0,0,0,0
29,Missouri,0,0,0,0,0,0,0,0
30,Montana,382,62,3,33,15,8,0,2
31,Nebraska,0,0,0,0,0,0,0,0
32,Nevada,0,0,0,0,0,0,0,0
33,New Hampshire,262,29,1,22,7,12,3,1
34,New Jersey,0,0,0,0,0,0,0,0
35,New Mexico,0,0,0,0,0,0,0,0
36,New York,0,0,0,0,0,0,0,0
37,North Carolina,0,0,0,0,0,0,0,0
38,North Dakota,177,21,1,11,5,5,0,1
39,Ohio,568,49,1,36,9,7,2,3
40,Oklahoma,0,0,0,0,0,0,0,0
41,Oregon,0,0,0,0,0,0,0,0
42,Pennsylvania,0,0,0,0,0,0,0,0
44,Rhode Island,0,0,0,0,0,0,0,0
45,South Carolina,401,12,6,25,9,8,0,2
46,South Dakota,0,0,0,0,0,0,0,0
47,Tennessee,250,14,3,10,6,2,4,2
48,Texas,0,0,0,0,0,0,0,0
49,Utah,0,0,0,0,0,0,0,0
50,Vermont,0,0,0,0,0,0,0,0
51,Virginia,0,0,0,0,0,0,0,0
53,Washington,0,0,0,0,0,0,0,0
54,West Virginia,214,12,2,7,3,6,0,3
55,Wisconsin,0,0,0,0,0,0,0,0
56,Wyoming,189,21,2,8,9,9,0,0
66,Guam,61,2,0,1,1,0,1,2
72,Puerto Rico,107,15,4,43,11,12,1,0
